time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1749659457533141800,48.708141845703125,1,0.06566993147134781,1.608054757118225,4,21.041866302490234,208.0030517578125,265.4767964178851,19.4283828,50.0181573
1749659458529544400,49.70454443359375,1,0.06432628631591797,1.6116316318511963,4,21.154464721679688,206.003173828125,265.1824576669686,19.4282523,50.0179875
1749659459523778600,50.69877856445312,1,0.043977901339530945,1.6096711158752441,4,21.20461654663086,203.00531005859375,264.7402173384579,19.4281324,50.0178132
1749659460528540700,51.70354077148438,1,0.06504795700311661,1.6097551584243774,4,21.222232818603516,200.00572204589844,265.1846333162194,19.4280263,50.0176347
1749659461517274600,52.692274658203125,1,0.06451968848705292,1.6067243814468384,4,21.316843032836914,198.0039520263672,265.0365540801107,19.427932,50.0174536
1749659462534027500,53.709027587890624,1,0.06481548398733139,1.6099575757980347,4,21.336896896362305,196.00411987304688,265.47381003727196,19.4278463,50.0172691
1749659463528624600,54.70362475585937,1,0.06603437662124634,1.611845850944519,4,21.411291122436523,195.0020751953125,266.19135631267864,19.4277681,50.017084
1749659464519010000,55.69401000976563,1,0.04362289607524872,1.609474539756775,4,21.43297004699707,194.002197265625,266.14023847313683,19.4276941,50.0168973
1749659465533164000,56.7081640625,1,0.06536293774843216,1.6088231801986694,4,21.5344295501709,193.99986267089844,266.76449390129295,19.4276213,50.0167088
1749659466517509400,57.69250927734375,1,0.06502792984247208,1.6099846363067627,4,21.611520767211914,193.99989318847656,266.2554735776976,19.4275483,50.0165208
1749659467524145700,58.699145751953125,1,0.06800428032875061,1.6124614477157593,4,21.761629104614258,193.00209045410156,265.6070146995619,19.4274748,50.0163303
1749659468534285300,59.70928540039063,1,0.06484953314065933,1.6093345880508423,4,21.932708740234375,192.99978637695312,265.93865493772637,19.4274022,50.0161389
1749659469523404800,60.69840478515625,1,0.06476859003305435,1.6079565286636353,4,22.009706497192383,192.99990844726562,265.8292020928516,19.427329,50.0159473
1749659470516775000,61.69177490234375,1,0.12557664513587952,1.600897192955017,4.333000183105469,22.198747634887695,192.99977111816406,265.82124297901964,19.4272582,50.0157525
1749659471537602300,62.71260229492187,1,0.06461603939533234,1.5984684228897095,4.800000190734863,22.252695083618164,192.99993896484375,265.31997783188166,19.4271834,50.0155556
1749659472549809400,63.72480932617187,1,0.06455901265144348,1.6040213108062744,4.800000190734863,22.277807235717773,192.99996948242188,265.12468077708934,19.4271099,50.0153613
1749659473526766600,64.7017666015625,1,0.04540430009365082,1.603043794631958,4.665999889373779,22.258663177490234,193.99758911132812,264.9625757476374,19.4270343,50.0151675
1749659474530748400,65.70574853515625,1,0.06552674621343613,1.5996036529541016,4.800000190734863,22.268877029418945,193.0023956298828,265.3337154571242,19.4269571,50.0149721
1749659475528291000,66.703291015625,1,0.06825848668813705,1.6004040241241455,4.400000095367432,22.311935424804688,192.9999542236328,265.549154474671,19.4268831,50.0147783
1749659476533767200,67.70876708984375,1,0.06531800329685211,1.5982342958450317,4.333000183105469,22.36256217956543,192.99993896484375,265.40509343464583,19.4268088,50.0145831
1749659477527825000,68.70282495117188,1,0.06534462422132492,1.5968044996261597,4,22.445877075195312,192.99989318847656,266.08348365171213,19.4267332,50.0143869
1749659478528536300,69.70353637695312,1,0.04545953869819641,1.6035295724868774,4,22.50194549560547,192.9999237060547,265.9194511217247,19.4266571,50.0141905
1749659479527587300,70.70258740234375,1,0.06827878206968307,1.5992828607559204,4,22.57636833190918,192.99990844726562,265.64187215201946,19.4265807,50.0139932
1749659480529697500,71.70469750976562,1,0.06467937678098679,1.599686622619629,4,22.618770599365234,192.9999542236328,266.83702687721313,19.4265046,50.0137958
1749659481525945900,72.70094580078126,1,0.06471318006515503,1.597581386566162,4,22.665660858154297,192.99993896484375,268.28984438619693,19.4264291,50.0135982
1749659482525595600,73.700595703125,1,0.0646333396434784,1.5968573093414307,4,22.684612274169922,192.99998474121094,269.0430765329667,19.4263543,50.0134
1749659483524408800,74.69940893554687,1,0.04336848482489586,1.5988577604293823,4,22.701427459716797,192.99998474121094,269.8303165838985,19.4262789,50.0132018
1749659484524798200,75.69979809570313,1,0.06469938904047012,1.6054747104644775,4,22.729103088378906,192.99996948242188,269.80704507655054,19.4262031,50.013004
1749659485528561000,76.70356079101562,1,0.06467369198799133,1.5997785329818726,4,22.786579132080078,193.9974365234375,269.55270005601284,19.4261256,50.0128046
1749659486538096000,77.71309619140625,1,0.06479237973690033,1.5968306064605713,4,22.818628311157227,193.9999542236328,268.2578388156496,19.4260475,50.0126053
1749659487517570000,78.69257006835937,1,0.06473540514707565,1.5976134538650513,4,22.874237060546875,193.0025177001953,266.56984030229034,19.4259712,50.0124066
1749659488533342200,79.70834228515625,1,0.068235382437706,1.5968866348266602,4.400000095367432,22.932697296142578,192.99993896484375,266.11970991271085,19.4258952,50.0122049
1749659489521229000,80.69622900390625,1,0.06858354061841965,1.6004774570465088,4.665999889373779,23.00804328918457,192.99990844726562,265.98431508878184,19.4258186,50.0120049
1749659490533948700,81.70894873046875,1,0.06540390849113464,1.6051292419433594,4.800000190734863,23.021892547607422,193.99746704101562,265.4446338812397,19.4257396,50.0118032
1749659491532347600,82.70734765625,1,0.043908342719078064,1.6011408567428589,4.665999889373779,22.94077491760254,194.00010681152344,265.1935601915109,19.4256606,50.0116037
1749659492535152000,83.71015209960937,1,0.04542367532849312,1.5976080894470215,4.800000190734863,22.81205177307129,194.00018310546875,264.8644610299972,19.4255824,50.011405
1749659493530553300,84.70555322265625,1,0.0438956655561924,1.5962473154067993,4.665999889373779,22.757076263427734,194.0000762939453,264.4341241651178,19.4255047,50.011207
1749659494522477600,85.6974775390625,1,0.0655963197350502,1.598130702972412,4,22.757774353027344,194,264.28482771342726,19.4254263,50.0110091
1749659495529470200,86.70447021484375,1,0.0742136538028717,1.5993425846099854,4,22.796794891357422,193.9999542236328,264.169657935838,19.4253475,50.0108103
1749659496523223000,87.69822314453126,1,0.0653400719165802,1.5982609987258911,4,22.83647346496582,193.99993896484375,264.52370328021186,19.4252695,50.010612
1749659497528500700,88.70350073242187,1,0.06654682755470276,1.601422667503357,4,22.870471954345703,193.9999542236328,265.44300954892105,19.4251912,50.0104125
1749659498531155200,89.7061552734375,1,0.0651727244257927,1.6005163192749023,4,22.890336990356445,193.99996948242188,265.5944592207416,19.425112,50.0102128
1749659499523422500,90.69842236328125,1,0.06552626937627792,1.597410798072815,4,22.904428482055664,193.99998474121094,265.67338475472104,19.4250337,50.0100132
1749659500512259300,91.68725927734376,1,0.07238151878118515,1.5966789722442627,4,22.93951988220215,193.9999542236328,265.02144678040156,19.4249555,50.0098134
1749659501524343600,92.69934350585937,1,0.04619786888360977,1.5991616249084473,4,22.977102279663086,193.99993896484375,265.34780594842255,19.4248771,50.009612
1749659502526451700,93.70145166015625,1,0.046812888234853745,1.5983738899230957,4,23.076732635498047,193.99986267089844,265.2603490089139,19.4247991,50.0094112
1749659503523085300,94.69808520507813,1,0.04821247234940529,1.5877056121826172,4,23.097787857055664,193.99996948242188,265.30299076223514,19.4247204,50.0092098
1749659504527931400,95.70293139648437,1,0.07287660241127014,1.5904028415679932,4,23.17034339904785,193.99989318847656,266.1946849747361,19.4246409,50.0090077
1749659505523142100,96.69814208984376,1,0.06501287966966629,1.591761827468872,4,23.186038970947266,193.99998474121094,266.9292922392807,19.4245615,50.0088056
1749659506522020600,97.6970205078125,1,0.07598135620355606,1.588352084159851,4,23.282865524291992,193.99986267089844,266.9399597305963,19.4244821,50.0086025
1749659507525805600,98.7008056640625,1,0.07598324865102768,1.587886929512024,4,23.324230194091797,193.99993896484375,266.3106003817868,19.4244024,50.0083987
1749659508524045600,99.69904565429688,1,0.06511901319026947,1.5884191989898682,4,23.476787567138672,193.99977111816406,266.01745956886697,19.4243223,50.0081942
1749659509520038000,100.69503784179688,1,0.06532483547925949,1.5882463455200195,4,23.471471786499023,194.00001525878906,266.01745956886697,19.4242407,50.0079896
1749659510528529400,101.703529296875,1,0.06966205686330795,1.5893696546554565,4,23.545398712158203,193.99989318847656,267.18744924372675,19.4241594,50.007784
1749659511525080800,102.70008081054688,1,0.04410625994205475,1.5881725549697876,4,23.572561264038086,193.9999542236328,267.13614180839795,19.4240788,50.0075785
1749659512526884900,103.701884765625,1,0.06562557816505432,1.591978669166565,4,23.563486099243164,194.00001525878906,267.6759492769453,19.4239987,50.0073728
1749659513544249300,104.71924926757812,1,0.06547176092863083,1.589625597000122,4,23.674917221069336,193.9998321533203,267.04290833522253,19.4239179,50.007166
1749659514521645000,105.69664501953125,1,0.06539690494537354,1.5877336263656616,4,23.714277267456055,193.99993896484375,267.2321525172025,19.423837,50.0069605
1749659515521660700,106.69666064453125,1,0.06825852394104004,1.5881153345108032,4,23.751081466674805,193.9999542236328,267.41143446697924,19.4237544,50.0067529
1749659516529921800,107.704921875,1,0.07063370198011398,1.5894092321395874,4,23.69713020324707,194.0000762939453,267.8914550025455,19.4236715,50.006546
1749659517521110300,108.6961103515625,1,0.072278693318367,1.589037537574768,4,23.561084747314453,194.0001983642578,268.2542637177718,19.4235897,50.0063413
1749659518519663600,109.69466357421875,1,0.04633411765098572,1.5895048379898071,4.333000183105469,23.406206130981445,194.00022888183594,268.4697852177401,19.4235098,50.006137
1749659519527495400,110.70249536132812,1,0.044093672186136246,1.587855577468872,4.400000095367432,23.264081954956055,193.00282287597656,269.1185161898859,19.423432,50.0059337
1749659520524665600,111.69966552734375,1,0.044047657400369644,1.5861937999725342,4.400000095367432,23.196128845214844,193.00010681152344,270.60922360185265,19.4233572,50.0057313
1749659521522317600,112.69731762695312,1,0.06726304441690445,1.5895867347717285,4.333000183105469,23.162567138671875,192.00270080566406,270.31040207520476,19.4232852,50.0055285
1749659522525153500,113.70015356445313,1,0.05034886673092842,1.589087724685669,4.400000095367432,23.04498291015625,192.00015258789062,269.8536520921931,19.4232178,50.0053256
1749659523528507100,114.70350708007813,1,0.05004875361919403,1.586960792541504,4,22.88557243347168,191.00282287597656,269.0223562755782,19.4231549,50.0051238
1749659524521110000,115.69611010742187,1,0.04604998230934143,1.5869272947311401,4,22.63226318359375,190.0029296875,268.9732713978986,19.4230977,50.0049237
1749659525529389000,116.70438916015625,1,0.06556296348571777,1.5875695943832397,4,22.465900421142578,189.0027618408203,270.11702551652286,19.4230445,50.004724
1749659526525735200,117.70073510742188,1,0.04600546509027481,1.5879478454589844,4,22.346519470214844,189.0001220703125,270.9814656740299,19.4229941,50.004526
1749659527528427500,118.70342749023438,1,0.0651712641119957,1.5871754884719849,4,22.278762817382812,188.0026397705078,272.01882939031844,19.4229455,50.0043285
1749659528525690000,119.70069018554688,1,0.07405273616313934,1.5854607820510864,4,22.21491050720215,188.00006103515625,272.667907677188,19.4228984,50.0041313
1749659529528857000,120.70385717773438,1,0.06505183130502701,1.5860099792480469,4,22.243318557739258,188.99745178222656,275.1233261149805,19.42285,50.003934
1749659530531971800,121.70697192382812,1,0.10435732454061508,1.5895533561706543,4,22.3392276763916,188.99990844726562,275.6868817893897,19.4228025,50.0037369
1749659531518663200,122.6936630859375,1,0.06529463082551956,1.5913814306259155,4,22.354148864746094,188.99998474121094,275.6868817893897,19.4227573,50.0035426
1749659532528531700,123.70353173828126,1,0.06598292291164398,1.5884175300598145,4,22.42947769165039,188.9999237060547,276.19520072383636,19.4227094,50.0033472
1749659533527808300,124.70280834960937,1,0.06604314595460892,1.5877240896224976,4,22.5236759185791,188.00253295898438,276.82957363848084,19.42266,50.0031493
1749659534517792000,125.6927919921875,1,0.070917509496212,1.5876004695892334,4,22.574079513549805,188.997314453125,277.3742745905368,19.4226125,50.0029493
1749659535532773600,126.70777368164063,1,0.047495756298303604,1.5866392850875854,4,22.648500442504883,188.9999237060547,277.96337212654237,19.422561,50.0027454
1749659536515054300,127.69005444335937,1,0.06609035283327103,1.586915135383606,4,22.809833526611328,188.9998321533203,278.0595072377199,19.4225099,50.0025434
1749659537527634400,128.70263452148438,1,0.06595584750175476,1.5861320495605469,4,22.925329208374023,188.99989318847656,277.8671391255695,19.4224581,50.0023377
1749659538524436700,129.69943676757813,1,0.06595973670482635,1.5857685804367065,4,23.133432388305664,188.99978637695312,278.05309819687363,19.4224047,50.0021321
1749659539515860000,130.69085986328125,1,0.07653795182704926,1.5865076780319214,4,23.334331512451172,188.9998016357422,278.05309819687363,19.4223507,50.0019251
1749659540526797600,131.70179760742187,1,0.06810536235570908,1.5918337106704712,4,23.575504302978516,188.999755859375,278.6795757385113,19.4222957,50.0017152
1749659541528287000,132.70328686523436,1,0.07035868614912033,1.59038245677948,4,23.747615814208984,188.99981689453125,278.6693222850886,19.422241,50.0015051
1749659542530543600,133.70554370117188,1,0.07478585839271545,1.5897085666656494,4,23.882221221923828,189.99697875976562,278.86588473480816,19.4221841,50.001293
1749659543529873700,134.70487377929686,1,0.05349861457943916,1.5873053073883057,4,23.851383209228516,190.00003051757812,278.7013702040535,19.4221215,50.0010819
1749659544526640600,135.701640625,1,0.05032031983137131,1.5864139795303345,4,23.50983428955078,190.99761962890625,278.93374562024644,19.4220548,50.0008741
1749659545524157000,136.69915698242187,1,0.04911527410149574,1.5862154960632324,4,22.894954681396484,191.9981231689453,279.1030475838543,19.4219857,50.0006719
1749659546529507600,137.70450756835936,1,0.04837236553430557,1.5853835344314575,4,21.838783264160156,192.9989471435547,278.730449408873,19.4219158,50.0004788
1749659547544323600,138.71932348632814,1,0.05025237426161766,1.5858172178268433,4,21.000343322753906,193.00103759765625,278.5636284518197,19.4218458,50.0002953
1749659548518233300,139.6932333984375,1,0.04979439452290535,1.5864777565002441,4,20.15346336364746,193.0010528564453,277.4980466661409,19.421779,50.0001204
1749659549520936000,140.69593603515625,1,0.046494144946336746,1.5860986709594727,4,19.290067672729492,193.00099182128906,275.1503254080243,19.4217141,49.9999511
1749659550524398800,141.69939892578125,1,0.05088185518980026,1.5876331329345703,4,18.546804428100586,193.00082397460938,274.6869512318151,19.4216513,49.9997891
1749659551536622600,142.71162255859375,1,0.04882434383034706,1.5875219106674194,4.400000095367432,17.805631637573242,193.0007781982422,274.56522711053685,19.4215913,49.9996327
1749659552529119200,143.704119140625,1,0.04844926297664642,1.5809075832366943,4.333000183105469,17.07406997680664,193.00074768066406,275.1187629832573,19.4215348,49.9994842
1749659553521835500,144.69683544921875,1,0.04743469879031181,1.5798544883728027,4.400000095367432,16.166179656982422,193.00086975097656,275.7167447165265,19.4214817,49.9993424
1749659554529143300,145.70414331054687,1,0.047821637243032455,1.5774120092391968,4.400000095367432,15.077276229858398,193.00096130371094,275.79830822940914,19.4214329,49.9992092
1749659555524276000,146.69927587890626,1,0.045531708747148514,1.5780974626541138,4.333000183105469,13.70389461517334,193.00111389160156,275.2708007533057,19.421388,49.999088
1749659556526112000,147.70111206054688,1,0.04536440223455429,1.577445149421692,4.333000183105469,12.622941970825195,193.00079345703125,274.21511035931877,19.4213464,49.9989773
